fila,identificador,nombre,current_attack,explicit_attack,keyword_hints,proposed_attack,missing_attack,excluded_raw,excluded_effective_detect,excluded_not_effective,proposed_d3fend_detect,d3_count
35,﻿CU092_Suspicious_Source_to_Destination_Traffic_IOC_Match,CU092_Suspicious_Source_to_Destination_Traffic_IOC_Match,T1078; T1133,,T1595.002,T1078; T1133; T1595.002,,,,,,0
36,﻿CU093_Login_Attempts_From_TOR_Nodes_Log4j_Exploits_IPs,CU093_Login_Attempts_From_TOR_Nodes_Log4j_Exploits_IPs,T1090.003; T1133; T1190,,T1595.002,T1090.003; T1133; T1190; T1595.002,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,12
37,﻿CU096_Multiple_Users_Connected_to_IOC_IP,CU096_Multiple_Users_Connected_to_IOC_IP,T1566.002,,T1595.002,T1566.002; T1595.002,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-MA - Message Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-SMRA - Sender MTA Reputation Analysis; D3-SRA - Sender Reputation Analysis; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,26
38,﻿CU098_Detection_Usage_SC_NET_Multiple_Services_Processes,CU098_Detection_Usage_SC_NET_Multiple_Services_Processes,T1068; T1685,,,T1068; T1685,,,,,D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons,5
39,﻿CU099_Detection_Usage_TASKKILL_Multiple_Processes,CU099_Detection_Usage_TASKKILL_Multiple_Processes,T1489; T1685,,,T1489; T1685,,,,,,0
40,﻿CU100_Possible_Phishing_Campaing,CU100_Possible_Phishing_Campaing,T1566,,T1566; T1595.002,T1566; T1595.002,,,,,,0
41,﻿CU104_Domain_or_Tenant_Policy_Modification,CU104_Domain_or_Tenant_Policy_Modification,T1484; T1484.001,,,T1484; T1484.001,,,,,,0
42,﻿CU106_Possible_Spear_Phishing_Campaign_ExcoMember,CU106_Possible_Spear_Phishing_Campaign_ExcoMember,T1566,,T1566; T1595.002,T1566; T1595.002,,,,,,0
43,﻿CU107_Abnormal_System_Time_Change,CU107_Abnormal_System_Time_Change,T1070,,,T1070,,,,,,0
44,﻿CU108_Control_de_habilitación_de_servicio_SSH_en_ESXi,CU108_Control_de_habilitación_de_servicio_SSH_en_ESXi,T1021.004; T1133,,,T1021.004; T1133,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,9
45,﻿CU109_Unauthorized _modification_authorized_keys _file,CU109_Unauthorized _modification_authorized_keys _file,T1098; T1098.004,,T1595.002,T1098; T1098.004; T1595.002,,,,,,0
46,﻿CU110_Unauthorized_user_with_DCSYNC_permission,CU110_Unauthorized_user_with_DCSYNC_permission,T1003.006; T1078; T1548,T1003.006,T1078,T1003.006; T1078; T1548,,,,,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,15
47,﻿CU111_Vulnerability_VMware_ESXi,CU111_Vulnerability_VMware_ESXi,T1069.001; T1098; T1484; T1548,,T1098,T1069.001; T1098; T1484; T1548,,,,,,0
48,﻿CU112_Suspicious_Regsvr32_Execution,CU112_Suspicious_Regsvr32_Execution,T1218,,,T1218,,,,,,0
49,﻿CU116_CITRIX_Massive_Brute_Force,CU116_CITRIX_Massive_Brute_Force,T1110,,T1078; T1110; T1190,T1078; T1110; T1190,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,11
50,﻿CU117_CITRIX_Single_Origin_Brute_Force,CU117_CITRIX_Single_Origin_Brute_Force,T1110,,T1078; T1110; T1190,T1078; T1110; T1190,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,11
51,﻿CU119_AD_Modify_critics_groups,CU119_AD_Modify_critics_groups,T1098,,T1098,T1098,,,,,,0
52,﻿CU121_CVE-2024-49113 Posible LDAP Nightmare Exploit,CU121_CVE-2024-49113 Posible LDAP Nightmare Exploit,T1548.002,T1499,,T1499; T1548.002,,,,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring; D3-SCA - System Call Analysis,8
53,﻿CU122_AD_User_Creation_Outside_IDM,CU122_AD_User_Creation_Outside_IDM,T1136,,T1098,T1098; T1136,,,,,,0
54,﻿CU123_AD_Object(group/user)_Assignment_to_Groups_Outside_IDM,CU123_AD_Object(group/user)_Assignment_to_Groups_Outside_IDM,T1068; T1098,,T1021.001; T1098,T1021.001; T1068; T1098,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-MBT - Memory Boundary Tracking; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OSM - Operating System Monitoring; D3-PCSV - Process Code Segment Verification; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-SSC - Shadow Stack Comparisons; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,14
55,﻿CU124_DC_SuspiciousActivity_EDR,CU124_DC_SuspiciousActivity_EDR,T1587.001,,,T1587.001,,,,,,0
56,﻿CU125_WinRegistry_UACPolicy_Access,CU125_WinRegistry_UACPolicy_Access,T1012; T1112; T1218; T1547.001; T1548,T1112,T1059,T1012; T1059; T1112; T1218; T1547.001; T1548,,,,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring; D3-SCA - System Call Analysis; D3-SICA - System Init Config Analysis,10
57,﻿CU126_AD_Critics_Users_logon_without_passwordsafe_request,CU126_AD_Critics_Users_logon_without_passwordsafe_request,T1078; T1078.002,T1078; T1078.002; T1556; T1556.004,T1098,T1078; T1078.002; T1098; T1556; T1556.004,,,,,D3-DAM - Domain Account Monitoring; D3-PLA - Process Lineage Analysis; D3-PSMD - Process Self-Modification Detection; D3-UBA - User Behavior Analysis,4
58,﻿CU128_FW_Forbidden_Connections_From_DMZ,CU128_FW_Forbidden_Connections_From_DMZ,T1133; T1189; T1190,T1021; T1046; T1071.001,T1098; T1595,T1021; T1046; T1071.001; T1098; T1133; T1189; T1190; T1595,,,,,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,27
59,﻿CU130_GPOADM_Abnormal_Host_Logon,CU130_GPOADM_Abnormal_Host_Logon,T1078,,T1098,T1078; T1098,,,,,,0
60,﻿CU132_File_Hash_Reputation_Analysis,CU132_File_Hash_Reputation_Analysis,T1204,,T1204; T1595.002,T1204; T1595.002,,,,,,0
